date,symbol,expiry,strike,option_type,open,close,contracts,oi,underlying,source
2022-01-07,NIFTY,2022-02-03,17350.0,CE,0.0,720.55,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17400.0,CE,0.0,613.9,0,100,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17450.0,CE,524.1,596.95,2,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17500.0,CE,628.1,540.0,8,4050,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17550.0,CE,0.0,374.75,0,100,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17600.0,CE,562.7,497.65,7,4500,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17650.0,CE,0.0,446.65,0,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17700.0,CE,489.0,424.9,32,600,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17750.0,CE,0.0,531.85,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17800.0,CE,417.3,400.9,314,9700,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17850.0,CE,373.7,377.25,10,150,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17900.0,CE,370.0,350.0,121,4300,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17950.0,CE,329.2,329.2,1,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18000.0,CE,269.9,294.25,292,18750,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18050.0,CE,243.8,241.35,6,300,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18100.0,CE,265.0,232.0,25,950,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18150.0,CE,0.0,381.4,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18200.0,CE,0.0,365.15,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18250.0,CE,0.0,349.4,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18300.0,CE,166.0,166.25,56,2750,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18350.0,CE,0.0,319.5,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18400.0,CE,149.8,153.65,90,300,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18450.0,CE,0.0,291.6,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18500.0,CE,116.9,116.05,178,8700,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18550.0,CE,0.0,266.45,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18600.0,CE,95.0,92.0,2,450,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18650.0,CE,0.0,242.55,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18700.0,CE,39.0,69.65,3,100,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18750.0,CE,0.0,219.65,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,18800.0,CE,0.0,209.15,0,0,,NSE_bhavcopy
